"p18_id_medio_transporte","count","percentage"
1,19343,12.6997570743878
2,7343,4.82108856936511
3,840,0.551506795351586
4,11776,7.73160002626223
5,455,0.298732847482109
6,101,0.0663121265839406
7,6647,4.3641257960738
8,5232,3.43509946818988
9,34,0.0223228940975642
10,330,0.216663383888123
11,3621,2.37738822139059
12,1734,1.13846759897577
13,22,0.0144442255925415
14,1539,1.01043923576915
15,1008,0.661808154421903
16,5194,3.4101503512573
17,536,0.351913859891012
18,105,0.0689383494189482
19,2813,1.84689120871906
20,51,0.0334843411463463
21,36,0.023636005515068
22,2,0.00131311141750378
23,524,0.344035191385989
24,76,0.0498982338651435
25,17,0.0111614470487821
30,7631,5.01017661348565
31,112,0.0735342393802114
32,4838,3.17641651894163
33,1131,0.742564506598385
34,12131,7.96467730286915
35,6932,4.55124417306808
36,261,0.171361039984243
37,131,0.0860087978464973
38,33,0.0216663383888123
39,204,0.133937364585385
40,49383,32.4226905652945
99,144,0.0945440220602718
