"ORDEN","P2_C","P3_C","P4_C","P5_C","P6_C","P7_C","P8_C","P9_C","P10_C","F_EXP"
"00352","01","01","01","11001","02","3",NA,"1",0,329.68733828114
"00364","01","04","01","41132","01","2",NA,"1",0,361.797322250766
"00364","02","04","01","11001","02","2",NA,"1",0,361.797322250766
"00367","01","01","01","11001","01","3",NA,"2",25000,307.100445906167
"00367","02","04","01","11001","03","2",NA,"2",25000,307.100445906167
"00372","01","01","01","11001","02","3",NA,"1",0,60.6697778851199
"00372","02","04","01","11001","04","2",NA,"1",0,60.6697778851199
"00375","01","04","01","25286","03","2",NA,"1",0,179.17618928486
"00403","01","01","01","17001","01","3",NA,"1",0,155.32260031211
"00406","01","01","01","11001","01","3",NA,"3",60000,93.049593289006
"00419","01","01","01","11001","04","3",NA,"3",30000,389.132762484105
"00421","01","04","01","11001","01","2",NA,"1",0,120.241264180236
"00429","01","04","01","01001","03","2",NA,"1",0,99.949163521641
"00435","01","04","01","25754","01","2",NA,"1",0,305.290789617128
"00440","01","01","01","11001","01","3",NA,"1",0,69.546005120916
"00441","01","01","03","11001","01","3",NA,"1",0,203.607013955375
"00442","01","01","01","11001","53","3",NA,"3",50000,91.4513403678866
"00442","02","04","01","01001","53","2",NA,"1",0,91.4513403678866
"00443","01","04","01","25175","02","2",NA,"2",32000,120.241264180236
"00454","01","01","01","25799","02","1","77","3",30000,156.141193797824
"00458","01","05","01","11001","50","3",NA,"3",10000,138.382709342903
"00466","01","01","01","11001","01","3",NA,"1",0,140.715761378752
"00485","01","01","01","25754","01","3",NA,"4",0,60.4686887058606
"00488","01","01","01","11001","01","3",NA,"2",50000,327.617820029816
"00492","01","05","01","11001","01","3",NA,"3",80000,293.990904014699
"00495","01","01","01","11001","01","3",NA,"2",70000,81.9394669286796
"00510","01","01","02","11001","01","3",NA,"3",180000,161.73476463895
"00511","01","01","01","11001","01","3",NA,"2",40000,84.9844285858501
"00521","01","01","01","25175","03","3",NA,"2",75000,156.141193879413
"00529","01","04","01","11001","02","2",NA,"1",0,91.5439799960347
"00538","01","04","01","11001","01","2",NA,"3",60000,156.141193928568
"00545","01","01","01","11001","01","3",NA,"3",40000,164.691877279962
"00558","01","04","01","11001","03","2",NA,"1",0,211.520259089555
"00566","01","01","01","25899","02","3",NA,"1",0,159.544993490647
"00592","01","04","01","01001","02","2",NA,"1",0,104.008106101317
"00593","01","01","01","11001","02","3",NA,"1",0,151.381697453271
"00593","02","02","01","25175","02","1","04","2",70000,151.381697453271
"00595","01","01","01","25377","02","3",NA,"1",0,143.714249531571
"00595","02","04","01","01001","02","2",NA,"1",0,143.714249531571
"00600","01","04","01","01001","01","2",NA,"1",0,119.452605822635
"00617","01","01","01","11001","01","3",NA,"1",0,8.17560030444326
"00618","01","04","01","01001","01","2",NA,"1",0,4.57197767922216
"00619","01","01","01","11001","01","3",NA,"1",0,5.93468489236365
"00626","01","04","01","01001","01","2",NA,"1",0,17.8864892793539
"00631","01","01","01","25260","01","3",NA,"1",0,9.28463925099972
"00631","02","04","01","25260","01","2",NA,"1",0,9.28463925099972
"00639","01","01","01","25269","01","3",NA,"2",0,6.89139688490109
"00647","01","01","01","25286","02","3",NA,"1",0,42.2341353210698
"00649","01","01","01","11001","77","3",NA,"1",0,95.869351090898
"00650","01","04","01","11001","50","2",NA,"1",0,53.5221847875515
"00651","01","04","01","11001","03","2",NA,"1",0,11.365391950962
"00652","01","01","01","11001","02","3",NA,"3",1e+05,17.4247746592624
"00657","01","01","01","25175","01","3",NA,"1",0,20.2830708136819
"00659","01","01","01","25899","01","3",NA,"4",0,19.2813036198853
